,Id,Rol,Victima,Sexo,Edad,Dias_hospitalizado,N_victimas,Año,Mes,Dia,Hora,Calle,Altura,Cruce,Dirección,Comuna,Latitud,Longitud,Acusado
10,2016-0015,PEATON,PEATON,FEMENINO,16,0.0,1.0,2016.0,2.0,14.0,5.0,"SCALABRINI ORTIZ, RAUL AV.",,VERA,"SCALABRINI ORTIZ, RAUL AV. y VERA",15.0,-58.4376002,-34.59912758,AUTO
11,2016-0016,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,19,0.0,1.0,2016.0,2.0,14.0,22.0,REGIMIENTO DE PATRICIOS AV.,,"QUINQUELA MARTIN, BENITO","REGIMIENTO DE PATRICIOS AV. y QUINQUELA MARTIN, BENITO",4.0,-58.36882665,-34.64291993,AUTO
12,2016-0017,PEATON,PEATON,MASCULINO,59,1.0,1.0,2016.0,2.0,15.0,16.0,"ACOSTA, MARIANO",,"JANER, ANA MARIA","ACOSTA, MARIANO y JANER, ANA MARIA",8.0,-58.44989671,-34.65970435,MOTO
13,2016-0019,PEATON,PEATON,FEMENINO,65,0.0,1.0,2016.0,2.0,17.0,9.0,"DE LA TORRE, LISANDRO",,"GARCIA GRANDE DE ZEQUEIRA, SEVERO","DE LA TORRE, LISANDRO y GARCIA GRANDE DE ZEQUEIRA, SEVERO",9.0,-58.50990884,-34.65468721,PASAJEROS
14,2016-0020,PEATON,PEATON,MASCULINO,59,14.0,1.0,2016.0,2.0,17.0,16.0,SUIPACHA,156.0,SD,SUIPACHA 156,1.0,-58.37952223,-34.60653282,AUTO
15,2016-0021,CONDUCTOR,AUTO,MASCULINO,34,0.0,1.0,2016.0,2.0,17.0,23.0,DIRECTORIO AV.,,CURAPALIGUE,DIRECTORIO AV. y CURAPALIGUE,7.0,-58.45157703,-34.63063795,AUTO
16,2016-0022,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,41,,1.0,2016.0,2.0,21.0,6.0,9 DE JULIO AV.,,"ALSINA, ADOLFO","9 DE JULIO AV. y ALSINA, ADOLFO",1.0,-58.38144696,-34.61079875,AUTO
17,2016-0025,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,34,0.0,1.0,2016.0,2.0,28.0,4.0,"PAZ, GRAL. AV.",,27 DE FEBRERO AV.,"PAZ, GRAL. AV. y 27 DE FEBRERO AV.",8.0,-58.46244952,-34.70524971,AUTO
18,2016-0026,CONDUCTOR,AUTO,MASCULINO,30,5.0,1.0,2016.0,2.0,28.0,7.0,HOLMBERG,,VEDIA,HOLMBERG y VEDIA,12.0,-58.49216191,-34.54738649,OBJETO FIJO
19,2016-0027,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,34,,1.0,2016.0,2.0,28.0,9.0,CURAPALIGUE AV.,,"DIAZ, AVELINO","CURAPALIGUE AV. y DIAZ, AVELINO",7.0,-58.44497874,-34.63852623,AUTO
20,2016-0028,PEATON,PEATON,MASCULINO,50,0.0,1.0,2016.0,3.0,2.0,10.0,VIAMONTE,,9 DE JULIO AV.,VIAMONTE y 9 DE JULIO AV.,1.0,-58.38199706,-34.60028648,CARGAS
21,2016-0029,PEATON,PEATON,MASCULINO,38,0.0,1.0,2016.0,3.0,4.0,17.0,CABILDO AV.,,DEHEZA,CABILDO AV. y DEHEZA,12.0,-58.47378664,-34.54153077,PASAJEROS
22,2016-0031,CONDUCTOR,MOTO,MASCULINO,21,,1.0,2016.0,3.0,8.0,12.0,"PAZ, GRAL. AV.",,"ROCA, CNEL. AV.","PAZ, GRAL. AV. y ROCA, CNEL. AV.",8.0,-58.47064556,-34.69843756,PASAJEROS
23,2016-0034,PEATON,PEATON,MASCULINO,52,0.0,1.0,2016.0,3.0,12.0,12.0,"ALCORTA, AMANCIO AV.",,"BONAVENA, OSCAR NATALIO","ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",4.0,-58.40623949,-34.65076549,PASAJEROS
24,2016-0035,CONDUCTOR,MOTO,MASCULINO,34,0.0,1.0,2016.0,3.0,13.0,6.0,CORRIENTES AV.,,CALLAO AV.,CORRIENTES AV. y CALLAO AV.,3.0,-58.39228965,-34.60443527,PASAJEROS
25,2016-0036,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,36,0.0,1.0,2016.0,3.0,14.0,0.0,HERRERA,,"VALLE, ARISTOBULO DEL","HERRERA y VALLE, ARISTOBULO DEL",4.0,-58.37813396,-34.63668504,PASAJEROS
26,2016-0037,CONDUCTOR,MOTO,MASCULINO,20,0.0,1.0,2016.0,3.0,19.0,11.0,LAFUENTE AV.,,QUIRNO,LAFUENTE AV. y QUIRNO,7.0,-58.46275892,-34.64358293,MOTO
27,2016-0038,PEATON,PEATON,MASCULINO,29,0.0,1.0,2016.0,3.0,21.0,8.0,"PAZ, GRAL. AV.",,ZUVIRIA,"PAZ, GRAL. AV. y ZUVIRIA",8.0,-58.49683458,-34.67892743,PASAJEROS
28,2016-0039,CONDUCTOR,MOTO,MASCULINO,20,0.0,1.0,2016.0,3.0,23.0,1.0,"MITRE, BARTOLOME",,PUEYRREDON AV.,"MITRE, BARTOLOME y PUEYRREDON AV.",3.0,-58.40603217,-34.6088396,PASAJEROS
29,2016-0041,CONDUCTOR,MOTO,MASCULINO,54,0.0,2.0,2016.0,3.0,29.0,11.0,DIRECTORIO AV.,,RIVERA INDARTE AV.,DIRECTORIO AV. y RIVERA INDARTE AV.,7.0,-58.4607655,-34.63350444,CARGAS
30,2016-0041,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,SD,1.0,2.0,2016.0,3.0,29.0,11.0,DIRECTORIO AV.,,RIVERA INDARTE AV.,DIRECTORIO AV. y RIVERA INDARTE AV.,7.0,-58.4607655,-34.63350444,CARGAS
31,2016-0043,PEATON,PEATON,FEMENINO,56,0.0,1.0,2016.0,3.0,30.0,18.0,"DELLEPIANE, LUIS, TTE. GRAL.",,MURGUIONDO,"DELLEPIANE, LUIS, TTE. GRAL. y MURGUIONDO",8.0,-58.47832463,-34.67494416,CARGAS
32,2016-0044,CONDUCTOR,MOTO,MASCULINO,24,0.0,1.0,2016.0,3.0,31.0,19.0,"MORENO, JOSE MARIA AV.",,BALBASTRO,"MORENO, JOSE MARIA AV. y BALBASTRO",7.0,-58.43213235,-34.63693953,MULTIPLE
33,2016-0045,CONDUCTOR,MOTO,MASCULINO,SD,,1.0,2016.0,4.0,11.0,10.0,"PAZ, GRAL. AV.",,DEL LIBERTADOR AV.,"PAZ, GRAL. AV. y DEL LIBERTADOR AV.",13.0,-58.46743471,-34.53476874,SD
34,2016-0047,PEATON,PEATON,MASCULINO,41,0.0,1.0,2016.0,4.0,15.0,5.0,LIMA,1483.0,SD,LIMA 1483,1.0,-58.38247061,-34.62571878,PASAJEROS
35,2016-0048,PEATON,PEATON,FEMENINO,SD,,1.0,2016.0,4.0,15.0,17.0,CORRIENTES AV.,,DORREGO AV.,CORRIENTES AV. y DORREGO AV.,15.0,-58.44759966,-34.5917024,PASAJEROS
36,2016-0049,SD,SD,SD,SD,,1.0,2016.0,4.0,17.0,0.0,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,,SD,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,4.0,-58.37714647568196,-34.63657525428238,SD
37,2016-0050,PEATON,PEATON,MASCULINO,78,0.0,1.0,2016.0,4.0,19.0,9.0,"GORDILLO, TIMOTEO",,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.","GORDILLO, TIMOTEO y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8.0,-58.47305463,-34.68550712,PASAJEROS
38,2016-0051,CONDUCTOR,MOTO,MASCULINO,36,0.0,1.0,2016.0,4.0,20.0,4.0,"ALCORTA, AMANCIO AV.",,"BONAVENA, OSCAR NATALIO","ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",4.0,-58.40623949,-34.65076549,CARGAS
39,2016-0053,PEATON,PEATON,MASCULINO,38,0.0,1.0,2016.0,4.0,22.0,9.0,TRIUNVIRATO AV.,,OLAZABAL AV.,TRIUNVIRATO AV. y OLAZABAL AV.,12.0,-58.4842918,-34.57558053,PASAJEROS
40,2016-0054,CONDUCTOR,MOTO,MASCULINO,30,2.0,1.0,2016.0,4.0,23.0,21.0,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,,"PAZ, GRAL. AV.","AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y PAZ, GRAL. AV.",8.0,-58.48695354,-34.68795245,MOTO
41,2016-0055,PEATON,PEATON,MASCULINO,79,3.0,1.0,2016.0,4.0,25.0,20.0,"CASTILLA, RAMON, MARISCAL",,"FIGUEROA ALCORTA, PRES. AV.","CASTILLA, RAMON, MARISCAL y FIGUEROA ALCORTA, PRES. AV.",14.0,-58.40021959,-34.57964781,CARGAS
42,2016-0056,CONDUCTOR,MOTO,MASCULINO,26,0.0,1.0,2016.0,4.0,26.0,4.0,"CAMPOS, LUIS M. AV.",30.0,SD,"CAMPOS, LUIS M. AV. 30",14.0,-58.42957885,-34.57660058,OBJETO FIJO
43,2016-0058,PEATON,PEATON,FEMENINO,57,4.0,1.0,2016.0,5.0,4.0,14.0,LIMA,1471.0,SD,LIMA 1471,1.0,-58.38247542,-34.62556293,MOTO
44,2016-0059,PEATON,PEATON,MASCULINO,37,18.0,1.0,2016.0,5.0,8.0,16.0,CIUDADELA,,LIMA,CIUDADELA y LIMA,1.0,-58.38222219,-34.62728101,PASAJEROS
45,2016-0064,PEATON,PEATON,MASCULINO,20,,1.0,2016.0,5.0,14.0,18.0,"JUSTO, JUAN B. AV.",,CARRASCO AV.,"JUSTO, JUAN B. AV. y CARRASCO AV.",10.0,-58.49485242,-34.62953445,PASAJEROS
46,2016-0065,PEATON,PEATON,MASCULINO,20,0.0,1.0,2016.0,5.0,20.0,14.0,GAONA AV.,,ESPINOSA,GAONA AV. y ESPINOSA,6.0,-58.45227946,-34.61068024,AUTO
47,2016-0067,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,30,,1.0,2016.0,5.0,21.0,17.0,"DE LA TORRE, LISANDRO",,SARAZA,"DE LA TORRE, LISANDRO y SARAZA",8.0,-58.48455411,-34.6751276,PASAJEROS
48,2016-0068,CONDUCTOR,MOTO,MASCULINO,58,,1.0,2016.0,5.0,22.0,22.0,"FIGUEROA ALCORTA, PRES. AV.",,PUEYRREDON AV.,"FIGUEROA ALCORTA, PRES. AV. y PUEYRREDON AV.",2.0,-58.39056593,-34.58418569,PASAJEROS
49,2016-0069,CONDUCTOR,AUTO,MASCULINO,30,0.0,1.0,2016.0,5.0,23.0,3.0,ENTRE RIOS AV.,,FILIBERTO,ENTRE RIOS AV. y FILIBERTO,3.0,-58.39118948,-34.62704273,CARGAS
50,2016-0073,CONDUCTOR,MOTO,MASCULINO,23,,1.0,2016.0,6.0,11.0,15.0,"MAGARI?OS CERVANTES, A.",3900.0,SD,"MAGARIÃOS CERVANTES, A. 3900",10.0,-58.49021952,-34.62025108,CARGAS
51,2016-0074,CONDUCTOR,AUTO,MASCULINO,60,,1.0,2016.0,6.0,12.0,6.0,"PAZ, GRAL. AV.",,"SCAPINO, RODOLFO","PAZ, GRAL. AV. y SCAPINO, RODOLFO",8.0,-58.49896559,-34.67732118,AUTO
52,2016-0075,PEATON,PEATON,MASCULINO,42,0.0,1.0,2016.0,6.0,12.0,23.0,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,,MIRALLA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y MIRALLA,8.0,-58.47461076,-34.66874679,AUTO
53,2016-0076,PEATON,PEATON,FEMENINO,53,0.0,1.0,2016.0,6.0,13.0,16.0,SAN MARTIN AV.,,CAMARONES,SAN MARTIN AV. y CAMARONES,15.0,-58.46210891,-34.60356211,PASAJEROS
54,2016-0077,PEATON,PEATON,FEMENINO,SD,,1.0,2016.0,6.0,13.0,21.0,"PERON, JUAN DOMINGO, TTE. GENERAL",,"ALEM, LEANDRO N. AV.","PERON, JUAN DOMINGO, TTE. GENERAL y ALEM, LEANDRO N. AV.",1.0,-58.3702777,-34.60536123,PASAJEROS
55,2016-0078,CONDUCTOR,MOTO,MASCULINO,30,,1.0,2016.0,6.0,13.0,23.0,BELGRANO AV.,,JUJUY AV.,BELGRANO AV. y JUJUY AV.,3.0,-58.40491455,-34.6146383,MOTO
56,2016-0079,CONDUCTOR,AUTO,FEMENINO,51,,1.0,2016.0,6.0,16.0,17.0,DEL LIBERTADOR AV.,,"UDAONDO, GUILLERMO AV.","DEL LIBERTADOR AV. y UDAONDO, GUILLERMO AV.",13.0,-58.45504154,-34.54864492,AUTO
57,2016-0080,CONDUCTOR,AUTO,MASCULINO,60,,1.0,2016.0,6.0,18.0,6.0,"PAZ, GRAL. AV.",,RIVADAVIA AV.,"PAZ, GRAL. AV. y RIVADAVIA AV.",9.0,-58.52927982,-34.63931752,SD
58,2016-0081,CONDUCTOR,MOTO,MASCULINO,40,,1.0,2016.0,6.0,22.0,7.0,"LARRALDE, CRISOLOGO AV.",,MACHAIN,"LARRALDE, CRISOLOGO AV. y MACHAIN",12.0,-58.4872106,-34.55904606,AUTO
59,2016-0082,PEATON,PEATON,MASCULINO,87,8.0,1.0,2016.0,6.0,27.0,18.0,LA PLATA AV.,2384.0,SD,LA PLATA AV. 2384,4.0,-58.42273092,-34.64228803,AUTO
60,2016-0083,PEATON,PEATON,FEMENINO,76,1.0,1.0,2016.0,6.0,28.0,20.0,"ALBERDI, JUAN BAUTISTA AV.",,PUAN,"ALBERDI, JUAN BAUTISTA AV. y PUAN",6.0,-58.44788671,-34.62539009,MOTO
61,2016-0084,PEATON,PEATON,MASCULINO,57,9.0,1.0,2016.0,6.0,29.0,22.0,"PELLEGRINI, CARLOS",,TUCUMAN,"PELLEGRINI, CARLOS y TUCUMAN",1.0,-58.38110563,-34.60135531,PASAJEROS
62,2016-0085,SD,MOTO,MASCULINO,SD,,1.0,2016.0,6.0,29.0,22.0,"RABANAL, FRANCISCO, INTENDENTE AV.",,EREZCANO,"RABANAL, FRANCISCO, INTENDENTE AV. y EREZCANO",4.0,-58.42378834,-34.657341,OTRO
63,2016-0086,PEATON,PEATON,MASCULINO,75,1.0,1.0,2016.0,6.0,30.0,16.0,OLIVERA AV.,,"FALCON, RAMON L.,CNEL.","OLIVERA AV. y FALCON, RAMON L.,CNEL.",10.0,-58.48727942,-34.63652467,PASAJEROS
64,2016-0087,CONDUCTOR,MOTO,MASCULINO,23,0.0,1.0,2016.0,7.0,3.0,0.0,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,,SD,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y CASEROS AV.,1.0,-58.37864583,-34.62907067,OBJETO FIJO
65,2016-0088,PEATON,PEATON,FEMENINO,70,3.0,1.0,2016.0,7.0,11.0,15.0,CERETTI,,NU?EZ,CERETTI y NUÃEZ,12.0,-58.5015175,-34.56767549,AUTO
66,2016-0089,PEATON,PEATON,MASCULINO,35,0.0,1.0,2016.0,7.0,14.0,6.0,"LUGONES, LEOPOLDO AV.",,LA PAMPA,"LUGONES, LEOPOLDO AV. y LA PAMPA",13.0,-58.43233425,-34.55185825,AUTO
67,2016-0090,PEATON,PEATON,MASCULINO,60,1.0,1.0,2016.0,7.0,14.0,22.0,"SALGUERO, JERONIMO",,RIVADAVIA AV.,"SALGUERO, JERONIMO y RIVADAVIA AV.",5.0,-58.41971993,-34.6111224,PASAJEROS
68,2016-0092,CONDUCTOR,MOTO,MASCULINO,24,0.0,1.0,2016.0,7.0,15.0,11.0,"PAZ, GRAL. AV.",,DEL LIBERTADOR AV.,"PAZ, GRAL. AV. y DEL LIBERTADOR AV.",13.0,-58.46743471,-34.53476874,CARGAS
69,2016-0093,CONDUCTOR,AUTO,MASCULINO,35,2.0,1.0,2016.0,7.0,17.0,3.0,"ALBERDI, JUAN BAUTISTA AV.",,"MITRE, EMILIO","ALBERDI, JUAN BAUTISTA AV. y MITRE, EMILIO",6.0,-58.44362126,-34.62301748,AUTO
70,2016-0095,CONDUCTOR,MOTO,MASCULINO,29,0.0,1.0,2016.0,7.0,23.0,6.0,MERCEDES,,MOSCONI GENERAL AV.,MERCEDES y MOSCONI GENERAL AV.,11.0,-58.51713095,-34.59546519,AUTO
71,2016-0096,CONDUCTOR,MOTO,MASCULINO,SD,,1.0,2016.0,7.0,25.0,7.0,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,,SD,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,8.0,-58.47433193007387,-34.66684950051973,CARGAS
72,2016-0097,PEATON,PEATON,MASCULINO,80,17.0,1.0,2016.0,7.0,26.0,18.0,SOLIS,,MEXICO,SOLIS y MEXICO,1.0,-58.39038605,-34.6156281,AUTO
73,2016-0098,CONDUCTOR,MOTO,FEMENINO,43,,1.0,2016.0,7.0,27.0,16.0,SAN JUAN AV.,,ALBERTI,SAN JUAN AV. y ALBERTI,3.0,-58.40042405,-34.62356174,CARGAS
74,2016-0099,CONDUCTOR,CARGAS,MASCULINO,45,,1.0,2016.0,7.0,29.0,16.0,MOSCONI GENERAL AV.,,"PAZ, GRAL. AV.","MOSCONI GENERAL AV. y PAZ, GRAL. AV.",11.0,-58.52340614,-34.59798754,CARGAS
75,2016-0100,CONDUCTOR,MOTO,MASCULINO,57,0.0,1.0,2016.0,8.0,3.0,23.0,"PAZ, GRAL. AV.",,DONADO,"PAZ, GRAL. AV. y DONADO",12.0,-58.49491054,-34.54795581,OBJETO FIJO
76,2016-0101,SD,SD,MASCULINO,67,,1.0,2016.0,8.0,7.0,19.0,"PAZ, GRAL. AV.",,"CHAVEZ, JORGE","PAZ, GRAL. AV. y CHAVEZ, JORGE",9.0,-58.52932872,-34.65014993,SD
77,2016-0102,CONDUCTOR,MOTO,MASCULINO,29,,1.0,2016.0,8.0,10.0,23.0,"PERON, EVA AV.",,"SUAREZ, JOSE LEON","PERON, EVA AV. y SUAREZ, JOSE LEON",9.0,-58.50011639,-34.67316502,CARGAS
78,2016-0104,CONDUCTOR,MOTO,MASCULINO,21,1.0,1.0,2016.0,8.0,14.0,21.0,ZINNY,,SANTIAGO DE COMPOSTELA AV.,ZINNY y SANTIAGO DE COMPOSTELA AV.,9.0,-58.46635001,-34.65624369,PASAJEROS
79,2016-0105,PEATON,PEATON,MASCULINO,19,9.0,1.0,2016.0,8.0,17.0,0.0,"LACROZE, FEDERICO AV.",,FRAGA,"LACROZE, FEDERICO AV. y FRAGA",15.0,-58.45343236,-34.58435809,PASAJEROS
80,2016-0106,PEATON,PEATON,MASCULINO,38,,1.0,2016.0,8.0,19.0,21.0,"PELLEGRINI, CARLOS",,DEL LIBERTADOR AV.,"PELLEGRINI, CARLOS y DEL LIBERTADOR AV.",1.0,-58.38090932,-34.58927731,PASAJEROS
81,2016-0107,CONDUCTOR,MOTO,MASCULINO,21,,1.0,2016.0,8.0,20.0,8.0,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,,SD,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y DON PEDRO DE MENDOZA AV.,4.0,-58.37157668,-34.65429986,AUTO
82,2016-0109,CONDUCTOR,AUTO,FEMENINO,53,0.0,1.0,2016.0,8.0,24.0,5.0,AUTOPISTA PERITO MORENO,,BARRAGAN,AUTOPISTA PERITO MORENO y BARRAGAN,9.0,-58.52280139,-34.63659934,OBJETO FIJO
83,2016-0110,PEATON,PEATON,MASCULINO,57,,1.0,2016.0,8.0,24.0,20.0,"ALBERDI, JUAN BAUTISTA AV.",,CARHUE,"ALBERDI, JUAN BAUTISTA AV. y CARHUE",9.0,-58.51232237,-34.6590353,SD
84,2016-0111,CONDUCTOR,MOTO,MASCULINO,27,0.0,1.0,2016.0,8.0,25.0,9.0,LUGONES,,LA PAMPA,LUGONES y LA PAMPA,15.0,-58.47461905,-34.57663634,CARGAS
85,2016-0112,CONDUCTOR,MOTO,MASCULINO,24,0.0,1.0,2016.0,8.0,27.0,4.0,AUTOPISTA 25 DE MAYO,,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,AUTOPISTA 25 DE MAYO y AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,1.0,-58.38268809,-34.62282019,OBJETO FIJO
86,2016-0113,PEATON,PEATON,FEMENINO,60,,1.0,2016.0,8.0,27.0,16.0,"ALBERDI, JUAN BAUTISTA AV.",,GUARDIA NACIONAL,"ALBERDI, JUAN BAUTISTA AV. y GUARDIA NACIONAL",9.0,-58.49603546,-34.64564271,PASAJEROS
87,2016-0114,CICLISTA,BICICLETA,FEMENINO,55,0.0,1.0,2016.0,8.0,31.0,11.0,"SALGUERO, JERONIMO",1410.0,SD,"SALGUERO, JERONIMO 1410",14.0,-58.41848605,-34.59394733,CARGAS
88,2016-0115,SD,SD,MASCULINO,SD,,1.0,2016.0,9.0,2.0,11.0,ARIAS,,TRONADOR,ARIAS y TRONADOR,12.0,-58.48935041,-34.54917673,CARGAS
89,2016-0116,CONDUCTOR,MOTO,MASCULINO,30,0.0,1.0,2016.0,9.0,2.0,20.0,27 DE FEBRERO AV.,,ESCALADA AV.,27 DE FEBRERO AV. y ESCALADA AV.,8.0,-58.44451316,-34.68475866,AUTO
90,2016-0117,CONDUCTOR,AUTO,MASCULINO,43,,1.0,2016.0,9.0,3.0,15.0,DEL LIBERTADOR AV.,,TAGLE,DEL LIBERTADOR AV. y TAGLE,14.0,-58.39936478,-34.58271474,AUTO
91,2016-0118,CONDUCTOR,AUTO,MASCULINO,27,0.0,1.0,2016.0,9.0,4.0,3.0,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,,SD,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI KM. 2.9,1.0,-58.37936704,-34.62694503,AUTO
92,2016-0119,PASAJERO_ACOMPAÑANTE,SD,FEMENINO,SD,,1.0,2016.0,9.0,4.0,6.0,"LARRALDE, CRISOLOGO AV.",,TRIUNVIRATO AV.,"LARRALDE, CRISOLOGO AV. y TRIUNVIRATO AV.",12.0,-58.49659234,-34.56353635,SD
93,2016-0122,CICLISTA,BICICLETA,MASCULINO,49,0.0,1.0,2016.0,9.0,13.0,7.0,"PERON, EVA AV.",4233.0,SD,"PERON, EVA AV. 4233",9.0,-58.47256391,-34.65194557,PASAJEROS
94,2016-0123,CONDUCTOR,MOTO,FEMENINO,58,,1.0,2016.0,9.0,14.0,9.0,ASAMBLEA AV.,,"BONORINO, ESTEBAN, CNEL. AV.","ASAMBLEA AV. y BONORINO, ESTEBAN, CNEL. AV.",7.0,-58.45130953,-34.64053676,AUTO
95,2016-0124,PEATON,PEATON,MASCULINO,67,,1.0,2016.0,9.0,16.0,15.0,RIVADAVIA AV.,,RIVERA INDARTE AV.,RIVADAVIA AV. y RIVERA INDARTE AV.,7.0,-58.46271207,-34.62884871,PASAJEROS
96,2016-0125,CONDUCTOR,MOTO,MASCULINO,30,,1.0,2016.0,9.0,17.0,12.0,AUTOPISTA PERITO MORENO,,"ALBERDI, JUAN BAUTISTA AV.","AUTOPISTA PERITO MORENO y ALBERDI, JUAN BAUTISTA AV.",10.0,-58.49020869,-34.64243791,MOTO
97,2016-0126,CONDUCTOR,AUTO,MASCULINO,37,,2.0,2016.0,9.0,18.0,22.0,IRIGOYEN,,TINOGASTA,IRIGOYEN y TINOGASTA,10.0,-58.52572109,-34.62125906,CARGAS
98,2016-0126,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,60,,2.0,2016.0,9.0,18.0,22.0,IRIGOYEN,,TINOGASTA,IRIGOYEN y TINOGASTA,10.0,-58.52572109,-34.62125906,CARGAS
99,2016-0127,PEATON,PEATON,MASCULINO,50,,1.0,2016.0,9.0,24.0,10.0,"ACOSTA, MARIANO",,"ROCA, CNEL. AV.","ACOSTA, MARIANO y ROCA, CNEL. AV.",8.0,-58.44094791,-34.66677111,PASAJEROS
100,2016-0128,PEATON,PEATON,FEMENINO,81,0.0,1.0,2016.0,10.0,2.0,11.0,CASTRO,,PAVON AV.,CASTRO y PAVON AV.,5.0,-58.41914024,-34.6305389,PASAJEROS
101,2016-0130,CONDUCTOR,MOTO,MASCULINO,29,0.0,1.0,2016.0,10.0,4.0,12.0,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,,SD,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y BRASIL,1.0,-58.37910942,-34.62764717,CARGAS
102,2016-0131,PEATON,PEATON,MASCULINO,35,,1.0,2016.0,10.0,9.0,19.0,MIRAVE,3500.0,SD,MIRAVE 3500,4.0,-58.39871183,-34.64539318,AUTO
